69  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=103, nb_calimsMax=3, nb_claims=27 Nb_Messages=196
70  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=101, nb_calimsMax=2, nb_claims=11 Nb_Messages=260
71  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=105, nb_calimsMax=3, nb_claims=26 Nb_Messages=183
72  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=104, nb_calimsMax=3, nb_claims=17 Nb_Messages=210
73  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=105, nb_calimsMax=3, nb_claims=33 Nb_Messages=210
74  notDtected 1 0 nb_WinessCacheMax=2 nb_WinessCache=105, nb_calimsMax=2, nb_claims=19 Nb_Messages=229
75  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=103, nb_calimsMax=3, nb_claims=25 Nb_Messages=196
76  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=106, nb_calimsMax=3, nb_claims=3 Nb_Messages=190
77  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=103, nb_calimsMax=3, nb_claims=16 Nb_Messages=210
78  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=102, nb_calimsMax=3, nb_claims=13 Nb_Messages=192
79  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=105, nb_calimsMax=3, nb_claims=18 Nb_Messages=191
80  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=103, nb_calimsMax=2, nb_claims=2 Nb_Messages=190
81  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=101, nb_calimsMax=3, nb_claims=3 Nb_Messages=194
82  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=104, nb_calimsMax=3, nb_claims=22 Nb_Messages=175
83  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=106, nb_calimsMax=2, nb_claims=2 Nb_Messages=217
84  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=102, nb_calimsMax=3, nb_claims=8 Nb_Messages=194
85  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=101, nb_calimsMax=3, nb_claims=6 Nb_Messages=202
86  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=105, nb_calimsMax=3, nb_claims=18 Nb_Messages=195
87  notDtected 1 0 nb_WinessCacheMax=1 nb_WinessCache=103, nb_calimsMax=1, nb_claims=1 Nb_Messages=217
88  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=93, nb_calimsMax=2, nb_claims=3 Nb_Messages=199
89  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=97, nb_calimsMax=3, nb_claims=10 Nb_Messages=199
90  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=100, nb_calimsMax=3, nb_claims=12 Nb_Messages=206
91  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=105, nb_calimsMax=3, nb_claims=3 Nb_Messages=188
92  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=102, nb_calimsMax=3, nb_claims=13 Nb_Messages=196
93  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=95, nb_calimsMax=3, nb_claims=9 Nb_Messages=216
94  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=100, nb_calimsMax=3, nb_claims=10 Nb_Messages=161
95  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=102, nb_calimsMax=3, nb_claims=32 Nb_Messages=201
96  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=103, nb_calimsMax=3, nb_claims=10 Nb_Messages=179
97  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=107, nb_calimsMax=3, nb_claims=22 Nb_Messages=195
98  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=98, nb_calimsMax=3, nb_claims=5 Nb_Messages=186
99  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=101, nb_calimsMax=3, nb_claims=9 Nb_Messages=221
100  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=102, nb_calimsMax=3, nb_claims=15 Nb_Messages=196
101  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=117, nb_calimsMax=3, nb_claims=7 Nb_Messages=228
102  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=109, nb_calimsMax=3, nb_claims=6 Nb_Messages=226
103  detected 2 0 nb_WinessCacheMax=3 nb_WinessCache=115, nb_calimsMax=3, nb_claims=15 Nb_Messages=251
104  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=120, nb_calimsMax=3, nb_claims=15 Nb_Messages=249
105  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=114, nb_calimsMax=3, nb_claims=15 Nb_Messages=198
106  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=114, nb_calimsMax=3, nb_claims=9 Nb_Messages=212
107  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=118, nb_calimsMax=2, nb_claims=3 Nb_Messages=207
108  notDtected 2 0 nb_WinessCacheMax=4 nb_WinessCache=115, nb_calimsMax=4, nb_claims=35 Nb_Messages=220
109  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=110, nb_calimsMax=3, nb_claims=14 Nb_Messages=199
110  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=113, nb_calimsMax=3, nb_claims=8 Nb_Messages=234
111  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=115, nb_calimsMax=2, nb_claims=4 Nb_Messages=209
112  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=114, nb_calimsMax=2, nb_claims=3 Nb_Messages=229
113  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=116, nb_calimsMax=3, nb_claims=3 Nb_Messages=209
114  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=112, nb_calimsMax=3, nb_claims=10 Nb_Messages=224
115  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=122, nb_calimsMax=3, nb_claims=7 Nb_Messages=244
116  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=118, nb_calimsMax=3, nb_claims=4 Nb_Messages=236
117  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=113, nb_calimsMax=3, nb_claims=16 Nb_Messages=185
118  notDtected 2 0 nb_WinessCacheMax=4 nb_WinessCache=120, nb_calimsMax=4, nb_claims=35 Nb_Messages=232
119  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=115, nb_calimsMax=3, nb_claims=4 Nb_Messages=214
120  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=112, nb_calimsMax=3, nb_claims=20 Nb_Messages=209
121  notDtected 2 0 nb_WinessCacheMax=4 nb_WinessCache=117, nb_calimsMax=4, nb_claims=29 Nb_Messages=224
122  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=118, nb_calimsMax=3, nb_claims=21 Nb_Messages=214
123  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=120, nb_calimsMax=2, nb_claims=24 Nb_Messages=255
124  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=109, nb_calimsMax=3, nb_claims=16 Nb_Messages=215
125  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=117, nb_calimsMax=2, nb_claims=2 Nb_Messages=228
126  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=120, nb_calimsMax=2, nb_claims=5 Nb_Messages=242
127  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=114, nb_calimsMax=3, nb_claims=3 Nb_Messages=225
128  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=119, nb_calimsMax=3, nb_claims=30 Nb_Messages=213
129  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=118, nb_calimsMax=3, nb_claims=15 Nb_Messages=257
130  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=118, nb_calimsMax=2, nb_claims=2 Nb_Messages=275
131  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=114, nb_calimsMax=3, nb_claims=13 Nb_Messages=244
132  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=113, nb_calimsMax=3, nb_claims=34 Nb_Messages=217
133  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=116, nb_calimsMax=3, nb_claims=15 Nb_Messages=218
134  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=115, nb_calimsMax=3, nb_claims=6 Nb_Messages=217
